"VOYAGE_ID","VESSEL_ID","VOYAGE_STATUS","ESTIMATED_VOYAGE_START_DATE","HAS_CANAL_PASSAGE","IS_BALLAST","CANAL_COST","MILES_DIRECT","MILES_BALLAST","MILES_LOADED","DAYS_TOTAL_AT_SEA","DAYS_TOTAL_IN_PORT","DAYS_BALLAST","DAYS_LOADED","DAYS_WAITING","ORIGIN_PORT_ID","DEST_PORT_ID","RP_BALLAST_ID","RP_LOADED_ID","TERMINAL_ID","LAYCAN_START_UTC","LAYCAN_END_UTC","FREIGHT","GROSS_FREIGHT","NET_FREIGHT","FREIGHT_COST","PORT_COST","HANDLING_COST","VOYAGE_CANAL_COST","FO_COST","DO_COST","VARIOUS_COST","VARIOUS_REVENUE","RUNNING_COST","RUNNING_COST_PER_DAY"
1922508,1041179,"A",09-AUG-25,0,0,0,,1389.0655244753104,1461.4887964857755,4.918474253379688,0,0,4.918474253379688,0,101435,,,,,05-AUG-25,08-AUG-25,11000,11000,11000,0,0,0,0,0,0,0,0,0,0
1923049,1041179,"P",09-AUG-25,0,0,0,,1389.0655244753104,1473.493817838319,9.633613171247791,0,4.674739745830371,4.95887342541742,0,101435,,,,,05-AUG-25,08-AUG-25,11000,11000,11000,0,0,0,0,0,0,0,0,0,0
1923958,1041125,"T",31-JUL-25,0,0,0,,1461.4887964857755,1649.1545822921228,10.468511370887159,0,4.918471911250206,5.550039459636952,0,100955,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1924458,1041179,"A",14-AUG-25,0,0,0,,1473.493817838319,1647.600731489486,5.546340432315136,0,0.0015292221096663283,5.54481121020547,0,100955,,,,,31-JUL-25,03-AUG-25,10000000,10000000,10000000,0,0,0,0,0,0,0,0,0,0
1925025,1041179,"P",14-AUG-25,0,0,0,,1461.4887964857755,1649.1545822921228,10.468511370887159,0,4.918471911250206,5.550039459636952,0,100955,,,,,31-JUL-25,03-AUG-25,10000000,10000000,10000000,0,0,0,0,0,0,0,0,0,0
1926502,1041125,"T",31-JUL-25,0,0,0,,1461.4887964857755,1649.1545822921228,10.468511370887159,0,4.918471911250206,5.550039459636952,0,100955,,,,,02-JUL-25,17-JUL-25,10000000,10000000,10000000,0,0,0,0,0,0,0,0,0,0
1927075,1041179,"A",14-AUG-25,0,1,1000,,10153.421760191297,190,28.627076951549856,0,28.627076951549856,0,0,101435,,,,,31-JUL-25,03-AUG-25,1000000,1000700,1000700,0,25500,0,1000,0,0,813.3299999999999,700,0,0
1927530,1041179,"P",14-AUG-25,0,0,0,,1461.4887964857755,1649.1545822921228,5.5515557542633065,0,0.0015162946263540533,5.550039459636952,0,100955,,,,,31-JUL-25,03-AUG-25,10000000,10000000,10000000,0,0,0,0,0,0,0,0,0,0
1941370,1038877,"T",20-JUL-25,0,0,0,,7502.975008373257,0,26.2604125293064,0,26.2604125293064,0,0,104416,,,,,07-AUG-25,08-AUG-25,0,0,0,0,0,0,0,0,0,0,0,0,0
1946180,1041179,"A",07-AUG-25,0,1,0,,11345.31409066825,190,50.67760537928794,0.5,50.67760537928794,0,0,104420,,,,,09-JUL-25,09-AUG-25,1199000,1365285,1365285,0,0,0,0,0,0,15000,141285,0,0
