"VOYAGE_ID","CARGO_ID","COMMODITY_ID","BASELINE_TERM_ID","BASELINE_TERM_2_ID","LAYCAN_FROM","LAYCAN_TO","CARGO_QUANTITY","QUANTITY_OPTION_PCT","BOOKED_QUANTITY"
2876818,2876819,1038646,,,25-SEP-25,26-SEP-25,38000,0,38000
2876927,2876936,1130566,,,09-MAR-25,10-MAR-25,42000,0,42000
2876961,2876968,1130536,,,21-APR-25,25-APR-25,40000,0,40000
2877016,2877027,1130557,,,01-APR-25,07-APR-25,40000,0,40000
2877081,2877092,1130536,,,,,49700.44,0,49700.44
2877081,2877101,1130546,,,,,20000,0,20000
2877154,2877157,1130557,,,15-MAY-25,17-MAY-25,50000,0,50000
2877154,2877166,1038646,,,30-APR-25,01-MAY-25,0,0,0
2877231,2877237,1038646,,,,,36002.312,0,36002.312
2877304,2877307,1038646,,,30-APR-25,01-MAY-25,35000,0,35000
2877372,2877377,1130639,,,,,40000,0,40000
2877436,2877437,1038646,,,,,37000,0,37000
2877464,2877475,1129818,,,01-MAY-25,02-MAY-25,36940.47,0,36940.47
2877501,2877502,1038646,,,01-AUG-25,03-AUG-25,40000,0,40000
2877535,2877540,1038646,,,,,40000,0,40000
2877535,2877549,1038646,,,,,40000,0,40000
2877709,2877710,1038646,,,,,17500,0,17500
2877709,2877719,1038646,,,,,14000,0,14000
2877709,2877724,1038646,1038627,,,,2420,0,24400
2877709,2877729,1038646,,,,,5000,0,5000
2877709,2877734,1038646,,,,,5000,0,5000
2877948,2877951,1038646,,,23-SEP-24,25-SEP-24,38000,0,38000
2877993,2877996,1130536,,,,,40000,0,40000
2877993,2878001,1038646,,,11-JAN-25,15-JAN-25,40000,0,40000
2878054,2878057,1130536,,,20-MAY-25,21-MAY-25,42000,0,42000
2878107,2878108,1038646,1038627,,,,35000,0,35000
2878205,2878216,1130557,,,,,49950,0,49950
2878312,2878317,1038646,,,16-MAR-25,18-MAR-25,37000,0,37000
2878406,2878415,1130546,,,09-JUL-25,09-AUG-25,109000,0,109000
2878477,2878482,1130546,,,31-JUL-25,03-AUG-25,10000,0,10000
2878523,2878524,1130546,,,05-AUG-25,08-AUG-25,12000,0,12000
2878557,2878558,1130546,,,31-JUL-25,03-AUG-25,10000,0,10000
2879131,2879134,1038646,,,23-SEP-24,25-SEP-24,38000,0,38000
2879255,2879258,1129805,1038627,,,,40000,0,40000
2879334,2879335,1130536,,,17-JUL-25,26-SEP-25,38000,0,38000
2879377,2879378,1038646,,,25-SEP-25,26-SEP-25,38000,0,38000
2879486,2879495,1130566,,,09-MAR-25,10-MAR-25,42000,0,42000
2879520,2879527,1130536,,,21-APR-25,25-APR-25,40000,0,40000
2879575,2879586,1130557,,,01-APR-25,07-APR-25,40000,0,40000
2879640,2879651,1130536,,,,,49700.44,0,49700.44
2879640,2879660,1130546,,,,,20000,0,20000
2879713,2879716,1130557,,,15-MAY-25,17-MAY-25,50000,0,50000
2879713,2879725,1038646,,,30-APR-25,01-MAY-25,0,0,0
2879790,2879796,1038646,,,,,36002.312,0,36002.312
2879863,2879866,1038646,,,30-APR-25,01-MAY-25,35000,0,35000
2879931,2879936,1130639,,,,,40000,0,40000
2879995,2879996,1038646,,,,,37000,0,37000
2880023,2880034,1129818,,,01-MAY-25,02-MAY-25,36940.47,0,36940.47
2880060,2880061,1038646,,,01-AUG-25,03-AUG-25,40000,0,40000
2880094,2880099,1038646,,,,,40000,0,40000
2880094,2880108,1038646,,,,,40000,0,40000
2880268,2880269,1038646,,,,,17500,0,17500
2880268,2880278,1038646,,,,,14000,0,14000
2880268,2880283,1038646,1038627,,,,2420,0,24400
2880268,2880288,1038646,,,,,5000,0,5000
2880268,2880293,1038646,,,,,5000,0,5000
2880507,2880510,1038646,,,23-SEP-24,25-SEP-24,38000,0,38000
2880552,2880555,1130536,,,,,40000,0,40000
2880552,2880560,1038646,,,11-JAN-25,15-JAN-25,40000,0,40000
2880613,2880616,1130536,,,20-MAY-25,21-MAY-25,42000,0,42000
2880714,2880719,1038646,,,,,36002.312,0,36002.312
2880795,2880796,1038646,1038627,,,,35000,0,35000
2880893,2880904,1130557,,,,,49950,0,49950
2881000,2881005,1038646,,,16-MAR-25,18-MAR-25,37000,0,37000
