"VOYAGE_ID","VESSEL_ID","VOYAGE_START_TS","MILES_BALLAST","MILES_LOADED","MILES_TOTAL","SPEED_BALLAST","SPEED_LOADED","DAYS_AT_SEA","DAYS_IN_PORT_TOTAL","DAYS_TOTAL","DAYS_OFFHIRE","HAS_CANAL_PASSAGE","CANAL_COST","CANAL_1_ID","CANAL_2_ID","VOYAGE_STATUS","VESSEL_TYPE_ID"
1272642,1040826,21-DEC-23,1829.4632277599173,5150.79159362607,6980.2548213859873,13,13,23.49124218735669,0,29.426427372541873,0,0,0,,,"T",1038665
1866877,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
1854913,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
1912432,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
1584911,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
1727671,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
1843379,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
1732947,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
1938403,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
2879575,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
1735070,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
1845857,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
1691213,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
1814949,1040617,25-JAN-24,4702.142641371842,4879.463508076253,9581.606149448095,13,13,32.24578992602724,0,42.26959944983676,0,0,0,,,"P",1038665
